Name	Homepage	Description	Version	Tool.Type	Topic	Citations	Documentation	Operating.System	Language	Accessibility	License	DOI	Title	Abstract
RAAMS	http://informatics.mayo.edu/svn/trunk/mprc/raams/index.html	Algorithm for interpreting O-16/O-18 differential proteomics data.		Command-line tool	Proteomics, Proteomics experiment, Statistics and probability	55			C++	None	None	10.1074/mcp.m600148-mcp200	A method for automatically interpreting mass spectra of 18O-labeled isotopic clusters	16O/18O labeling is one differential proteomics technology among many that promises diagnostic and prognostic biomarkers of disease. Although the incorporation of 18O in the C-terminal carboxyl group during endoproteinase digestion in the presence of H218O makes the process of labeling facile, the ease and effectiveness of label incorporation have in some regards been outweighed by the difficulties in interpreting the resulting spectra. Complex isotope patterns result from the composition of unlabeled (18O0), singly labeled (18O1), and doubly labeled species (18)2) as well as contributions from the naturally occurring isotopes (e.g. 13C and 15N). Moreover because labeling is enzymatic, the number of 18O atoms incorporated can vary from peptide to peptide. Finally it is difficult to distinguish highly up-regulated from highly down-regulated or C-terminal peptides. We have developed an algorithm entitled regression analysis applied to mass spectrometry (RAAMS) that automatically, rapidly, and confidently interprets spectra of 18O-labeled peptides without requiring chemical composition information derived from production spectra. The algorithm is able to measure the effective 18O incorporation rate due to variable enzyme substrate specificity of the pseudosubstrater during the isotope exchange reaction and corrects for the 18O0 abundance that remains in the labeled sample when using a two-step digestion/labeling procedure. We have also incorporated a method for distinguishing pure 18O0 from pure 18O2 peptides utilizing impure H218O. The algorithm operates on centroided peak lists and is therefore very fast: nine chromatograms of, on average, 1,168 spectra and containing, on average, 6,761 isotopic clusters were interpreted in, on average, 45 s per chromatogram. RAAMS is fast enough (average, 38 ms/spectrum) to allow the possibility of performing information-dependent MS/MS on a chromatographic time scale on species exceeding predetermined ratio thresholds. We describe in detail the operation of the algorithm and demonstrate its use on datasets with known and unknown ratios. © 2007 by The American Society for Biochemistry and Molecular Biology, Inc.
SpecArray	http://tools.proteomecenter.org/SpecArray.php	Aligns multiple LC-MS datasets and much more.		Command-line tool	Proteomics, Proteomics experiment	163	http://tools.proteomecenter.org/wiki/index.php?title=Software:SpecArray	Linux, Mac	C++	None	None	10.1074/mcp.m500141-mcp200	A software suite for the generation and comparison of peptide arrays from sets of data collected by liquid chromatography-mass spectrometry	There is an increasing interest in the quantitative proteomic measurement of the protein contents of substantially similar biological samples, e.g. for the analysis of cellular response to perturbations over time or for the discovery of protein biomarkers from clinical samples. Technical limitations of current proteomic platforms such as limited reproducibility and low throughput make this a challenging task. A new LC-MS-based platform is able to generate complex peptide patterns from the analysis of proteolyzed protein samples at high throughput and represents a promising approach for quantitative proteomics. A crucial component of the LC-MS approach is the accurate evaluation of the abundance of detected peptides over many samples and the identification of peptide features that can stratify samples with respect to their genetic, physiological, or environmental origins. We present here a new software suite, SpecArray, that generates a peptide versus sample array from a set of LC-MS data. A peptide array stores the relative abundance of thousands of peptide features in many samples and is in a format identical to that of a gene expression microarray. A peptide array can be subjected to an unsupervised clustering analysis to stratify samples or to a discriminant analysis to identify discriminatory peptide features. We applied the SpecArray to analyze two sets of LC-MS data: one was from four repeat LC-MS analyses of the same glycopeptide sample, and another was from LC-MS analysis of serum samples of five male and five female mice. We demonstrate through these two study cases that the SpecArray software suite can serve as an effective software platform in the LC-MS approach for quantitative proteomics. © 2005 by The American Society for Biochemistry and Molecular Biology, Inc.
SwathXtend	http://bioconductor.org/packages/release/bioc/html/SwathXtend.html	It contains utility functions for integrating spectral libraries for SWATH and statistical data analysis for SWATH generated data.	1.2.0	Command-line tool, Library	Proteomics experiment, Proteomics	91	http://bioconductor.org/packages/release/bioc/html/SwathXtend.html	Linux, Windows, Mac	R	None	GPL-2.0	10.1074/mcp.m115.055558	SWATH mass spectrometry performance using extended peptide MS/MS assay libraries	The use of data-independent acquisition methods such as SWATH for mass spectrometry based proteomics is usually performed with peptide MS/MS assay libraries which enable identification and quantitation of peptide peak areas. Reference assay libraries can be generated locally through information dependent acquisition, or obtained from community data repositories for commonly studied organisms. However, there have been no studies performed to systematically evaluate how locally generated or repository-based assay libraries affect SWATH performance for proteomic studies. To undertake this analysis, we developed a software workflow, SwathXtend, which generates extended peptide assay libraries by integration with a local seed library and delivers statistical analysis of SWATH-quantitative comparisons. We designed test samples using peptides from a yeast extract spiked into peptides from human K562 cell lysates at three different ratios to simulate protein abundance change comparisons. SWATH-MS performance was assessed using local and external assay libraries of varying complexities and proteome compositions. These experiments demonstrated that local seed libraries integrated with external assay libraries achieve better performance than local assay libraries alone, in terms of the number of identified peptides and proteins and the specificity to detect differentially abundant proteins. Our findings show that the performance of extended assay libraries is influenced by the MS/MS feature similarity of the seed and external libraries, while statistical analysis using multiple testing corrections increases the statistical rigor needed when searching against large extended assay libraries.
Unipept visualizations	https://github.com/unipept/unipept-visualizations	A visualisation library based on the visualisations in unipept.	1.5.0	Library	Taxonomy, Proteomics	103, 100	https://github.com/unipept/unipept-visualizations/blob/master/README.md	Linux, Windows, Mac	JavaScript	None	MIT	10.1021/pr300576s	Unipept: Tryptic peptide-based biodiversity analysis of metaproteome samples	The Unipept web application (http://unipept.ugent.be) supports biodiversity analysis of large and complex metaproteome samples using tryptic peptide information obtained from shotgun MS/MS experiments. Its underlying index structure is designed to quickly retrieve all occurrences of a tryptic peptide in UniProtKB records. Taxon-specificity of the tryptic peptide is successively derived from these occurrences using a novel lowest common ancestor approach that is robust against taxonomic misarrangements, misidentifications, and inaccuracies. Not taking into account this identification noise would otherwise result in drastic loss of information. Dynamic treemaps visualize the biodiversity of metaproteome samples, which eases the exploration of samples with highly complex compositions. The potential of Unipept to gain novel insights into the biodiversity of a sample is evaluated by reanalyzing publicly available metaproteome data sets taken from the bacterial phyllosphere and the human gut. © 2012 American Chemical Society., 10.1002/pmic.201400361, The Unipept metaproteomics analysis pipeline, Unipept (http://unipept.ugent.be) is a web application that offers a user-friendly way to explore the biodiversity of complex metaproteome samples by providing interactive visualizations. In this article, the updates and changes to Unipept since its initial release are presented. This includes the addition of interactive sunburst and treeview visualizations to the multipeptide analysis, the foundations of an application programming interface (API) and a command line interface, updated data sources, and the open-sourcing of the entire application under the MIT license.
XLink	http://tools.proteomecenter.org/XLink.php	Set of tools for analysis of data from crosslinked and digested protein complexes.		Command-line tool	Proteomics, Proteomics experiment	105	http://tools.proteomecenter.org/software/xlink/XLINK_Software_Tools/XLINK_Software_Manual_0.93.html	Linux, Windows, Mac	Java, Perl	None	None	10.1021/pr060154z	Protein cross-linking analysis using mass spectrometry	isotope-coded cross-linkers, and integrated computational data processing, Distance constraints in proteins and protein complexes provide invaluable information for calculation of 3D structures, identification of protein binding partners and localization of protein-protein contact sites. We have developed an integrative approach to identify and characterize such sites through the analysis of proteolytic products derived from proteins chemically cross-linked by isotopically coded cross-linkers using LC-MALDI tandem mass spectrometry and computer software. This method is specifically tailored toward the rapid analysis of low microgram amounts of proteins or multimeric protein complexes cross-linked with nonlabeled and deuterium-labeled bis-NHS ester cross-linking reagents (both commercially available and readily synthesized). Through labeling with [18O]water solvent and LC-MALDI analysis, the method further allows the possible distinction between Type O and Type 1 or Type 2 modified peptides (monolinks and looplinks or cross-links), although such a distinction is more readily made from analysis of tandem mass spectrometry data. When applied to the bacterial Colicin E7 DNAse/lm7 heterodimeric protein complex, 23 cross-links were identified including six intersubunit cross-links, all between residues that are close in space when examined in the context of the X-ray structure of the heterodimer. In addition, cross-links were successfully identified in five single subunit proteins, beta-lactoglobulin, cytochrome c, lysozyme, myoglobin, and ribonuclease A, establishing the generality of the approach. © 2006 American Chemical Society.
XPRESS	http://tools.proteomecenter.org/XPRESS.php	Calculates relative abundances from ICAT, cICAT, SILAC and other N-14/N-15 experiments.		Command-line tool, Desktop application	Proteomics, Proteomics experiment	844	http://tools.proteomecenter.org/wiki/index.php?title=Software:XPRESS	Linux, Windows, Mac	C++	None	None	10.1038/nbt1001-946	Quantitative profiling of differentiation-induced microsomal proteins using isotope-coded affinity tags and mass spectrometry	An approach to the systematic identification and quantification of the proteins contained in the microsomal fraction of cells is described. It consists of three steps: (1) preparation of microsomal fractions from cells or tissues representing different states; (2) covalent tagging of the proteins with isotope-coded affinity tag (ICAT) reagents followed by proteolysis of the combined labeled protein samples; and (3) isolation, identification, and quantification of the tagged peptides by multidimensional chromatography, automated tandem mass spectrometry, and computational analysis of the obtained data. The method was used to identify and determine the ratios of abundance of each of 491 proteins contained in the microsomal fractions of naive and in vitrodifferentiated human myeloid leukemia (HL-60) cells. The method and the new software tools to support it are well suited to the large-scale, quantitative analysis of membrane proteins and other classes of proteins that have been refractory to standard proteomics technology.
SRMstats	http://www.stat.purdue.edu/~chang54/SRMstats/Home.html	A statistical framework for protein quantification in SRM experiments based on a family of linear mixed-effects models.		Library	Proteomics, Statistics and probability, Proteomics experiment	114	http://www.stat.purdue.edu/~chang54/SRMstats/R_implementation.html	Linux, Windows, Mac	R	None	None	10.1074/mcp.m111.014662	Protein significance analysis in selected reaction monitoring (SRM) measurements	Selected reaction monitoring (SRM) is a targeted mass spectrometry technique that provides sensitive and accurate protein detection and quantification in complex biological mixtures. Statistical and computational tools are essential for the design and analysis of SRM experiments, particularly in studies with large sample throughput. Currently, most such tools focus on the selection of optimized transitions and on processing signals from SRM assays. Little attention is devoted to protein significance analysis, which combines the quantitative measurements for a protein across isotopic labels, peptides, charge states, transitions, samples, and conditions, and detects proteins that change in abundance between conditions while controlling the false discovery rate. We propose a statistical modeling framework for protein significance analysis. It is based on linear mixed-effects models and is applicable to most experimental designs for both isotope label-based and label-free SRM workflows. We illustrate the utility of the framework in two studies: one with a group comparison experimental design and the other with a time course experimental design. We further verify the accuracy of the framework in two controlled data sets, one from the NCI-CPTAC reproducibility investigation and the other from an in-house spike-in study. The proposed framework is sensitive and specific, produces accurate results in broad experimental circumstances, and helps to optimally design future SRM experiments. The statistical framework is implemented in an open-source R-based software package SRMstats, and can be used by researchers with a limited statistics background as a standalone tool or in integration with the existing computational pipelines. © 2012 by The American Society for Biochemistry and Molecular Biology, Inc.
rpx	http://bioconductor.org/packages/release/bioc/html/rpx.html	This package implements an interface to proteomics data submitted to the ProteomeXchange consortium.	1.10.0	Command-line tool, Library	Proteomics	2259	http://bioconductor.org/packages/release/bioc/html/rpx.html	Linux, Windows, Mac	R	None	GPL-2.0	10.1038/nbt.2839	ProteomeXchange provides globally coordinated proteomics data submission and dissemination	
ProtGenerics	http://bioconductor.org/packages/release/bioc/html/ProtGenerics.html	S4 generic functions needed by BioConductor proteomics packages.	1.6.0	Command-line tool, Library	Proteomics	2315	http://bioconductor.org/packages/release/bioc/html/ProtGenerics.html	Linux, Windows, Mac	R	None	Artistic-2.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
pRolocGUI	http://bioconductor.org/packages/release/bioc/html/pRolocGUI.html	This package comprises functions to interactively visualise organelle (spatial) proteomics data on the basis of pRoloc, pRolocdata and Shiny.	1.8.2	Command-line tool, Library	Proteomics	159	http://bioconductor.org/packages/release/bioc/html/pRolocGUI.html	Linux, Windows, Mac	R	None	GPL-2.0	10.1038/ncomms9992	A draft map of the mouse pluripotent stem cell spatial proteome	Knowledge of the subcellular distribution of proteins is vital for understanding cellular mechanisms. Capturing the subcellular proteome in a single experiment has proven challenging, with studies focusing on specific compartments or assigning proteins to subcellular niches with low resolution and/or accuracy. Here we introduce hyperLOPIT, a method that couples extensive fractionation, quantitative high-resolution accurate mass spectrometry with multivariate data analysis. We apply hyperLOPIT to a pluripotent stem cell population whose subcellular proteome has not been extensively studied. We provide localization data on over 5,000 proteins with unprecedented spatial resolution to reveal the organization of organelles, sub-organellar compartments, protein complexes, functional networks and steady-state dynamics of proteins and unexpected subcellular locations. The method paves the way for characterizing the impact of post-transcriptional and post-translational modification on protein location and studies involving proteome-level locational changes on cellular perturbation. An interactive open-source resource is presented that enables exploration of these data.
pepXMLTab	http://bioconductor.org/packages/release/bioc/html/pepXMLTab.html	Parsing pepXML files based one XML package. The package tries to handle pepXML files generated from different softwares. The output will be a peptide-spectrum-matching tabular file. The package also provide function to filter the PSMs based on FDR.	1.8.0	Command-line tool, Library	Proteomics, Small molecules	2315	http://bioconductor.org/packages/release/bioc/html/pepXMLTab.html	Linux, Windows, Mac	R	None	Artistic-2.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
MSnID	http://bioconductor.org/packages/release/bioc/html/MSnID.html	Extracts MS/MS ID data from mzIdentML (leveraging mzID package) or text files. After collating the search results from multiple datasets it assesses their identification quality and optimize filtering criteria to achieve the maximum number of identifications while not exceeding a specified false discovery rate. Also contains a number of utilities to explore the MS/MS results and assess missed and irregular enzymatic cleavages, mass measurement accuracy, etc.	1.8.0	Command-line tool, Library	Proteomics experiment, Proteomics, Data acquisition	2315	http://bioconductor.org/packages/release/bioc/html/MSnID.html	Linux, Windows, Mac	R	None	Artistic-2.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
msmsTests	http://bioconductor.org/packages/release/bioc/html/msmsTests.html	Statistical tests for label-free LC-MS/MS data by spectral counts, to discover differentially expressed proteins between two biological conditions. Three tests are available: Poisson GLM regression, quasi-likelihood GLM regression, and the negative binomial of the edgeR package.The three models admit blocking factors to control for nuissance variables.	1.12.0	Command-line tool, Library	Proteomics, Proteomics experiment, Data quality management, Data visualisation, Data architecture, analysis and design	2315	http://bioconductor.org/packages/release/bioc/html/msmsTests.html	Linux, Windows, Mac	R	None	GPL-2.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
msmsEDA	http://bioconductor.org/packages/release/bioc/html/msmsEDA.html	Exploratory data analysis to assess the quality of a set of LC-MS/MS experiments, and visualize de influence of the involved factors.	1.12.0	Command-line tool, Library	Proteomics, Proteomics experiment, Data quality management, Data visualisation, Data architecture, analysis and design	2315	http://bioconductor.org/packages/release/bioc/html/msmsEDA.html	Linux, Windows, Mac	R	None	GPL-2.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
matter	http://bioconductor.org/packages/release/bioc/html/matter.html	Memory-efficient reading, writing, and manipulation of structured binary data on disk as vectors, matrices, and arrays. This package is designed to be used as a back-end for Cardinal for working with high-resolution mass spectrometry imaging data.	1.0.0	Command-line tool, Library	Data management, Imaging, Proteomics	2315	http://bioconductor.org/packages/release/bioc/html/matter.html	Linux, Windows, Mac	R	None	Artistic-2.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
massifquant	http://www.bioconductor.org/packages/release/bioc/html/xcms.html	Kalman filter based on binless peak picking and quantitation in XCMS.		Command-line tool	Proteomics, Proteomics experiment	153	http://www.bioconductor.org/packages/release/bioc/manuals/xcms/man/xcms.pdf	Linux, Windows, Mac	R	None	None	10.1093/bioinformatics/btq441	Correction of mass calibration gaps in liquid chromatography-mass spectrometry metabolomics data	Motivation: High mass accuracy is an important goal in liquid chromatography-mass spectrometry experiments. Some manufacturers employ a mass calibration system that regularly switches between the analyte and a standard reference compound, and leads to gaps in the analyte data. We present a method for correction of such gaps in global molecular profiling applications such as metabolomics. We demonstrate that it improves peak detection and quantification, successfully recovering the expected number of peaks and intensity distribution in an example metabolomics dataset. © The Author 2010. Published by Oxford University Press. All rights reserved.
isobar	http://bioconductor.org/packages/release/bioc/html/isobar.html	isobar provides methods for preprocessing, normalization, and report generation for the analysis of quantitative mass spectrometry proteomics data labeled with isobaric tags, such as iTRAQ and TMT. Features modules for integrating and validating PTM-centric datasets (isobar-PTM). More information on http://www.ms-isobar.org.	1.20.0	Command-line tool, Library	Proteomics, Proteomics experiment, Statistics and probability, Protein modifications	110, 18	http://bioconductor.org/packages/release/bioc/html/isobar.html	Linux, Windows, Mac	R	None	GPL-2.0	10.1021/pr1012784	General statistical modeling of data from protein relative expression isobaric tags	Quantitative comparison of the protein content of biological samples is a fundamental tool of research. The TMT and iTRAQ isobaric labeling technologies allow the comparison of 2, 4, 6, or 8 samples in one mass spectrometric analysis. Sound statistical models that scale with the most advanced mass spectrometry (MS) instruments are essential for their efficient use. Through the application of robust statistical methods, we developed models that capture variability from individual spectra to biological samples. Classical experimental designs with a distinct sample in each channel as well as the use of replicates in multiple channels are integrated into a single statistical framework. We have prepared complex test samples including controlled ratios ranging from 100:1 to 1:100 to characterize the performance of our method. We demonstrate its application to actual biological data sets originating from three different laboratories and MS platforms. Finally, test data and an R package, named isobar, which can read Mascot, Phenyx, and mzIdentML files, are made available. The isobar package can also be used as an independent software that requires very little or no R programming skills. © 2011 American Chemical Society., 10.1016/j.jprot.2013.02.022, IsobarPTM: A software tool for the quantitative analysis of post-translationally modified proteins, The establishment of extremely powerful proteomics platforms able to map thousands of modification sites, e.g. phosphorylations or acetylations, over entire proteomes calls for equally powerful software tools to effectively extract useful and reliable information from such complex datasets. We present a new quantitative PTM analysis platform aimed at processing iTRAQ or Tandem Mass Tags (TMT) labeled peptides. It covers a broad range of needs associated with proper PTM ratio analysis such as PTM localization validation, robust ratio computation and statistical assessment, and navigable user report generation. IsobarPTM is made available as an R Bioconductor package and it can be run from the command line by non R specialists. Biological significance: "IsobarPTM is a new software tool facilitating the quantitative analysis of protein modification regulation streamlining important issues related to PTM localization and statistical modeling. Users are provided with a navigable spreadsheet report, which also annotate already public modification sites." This article is part of a Special Issue entitled: From Genome to Proteome: Open Innovations. © 2013 Elsevier B.V.
DEP	http://bioconductor.org/packages/release/bioc/html/DEP.html	This package provides an integrated analysis workflow for robust and reproducible analysis of mass spectrometry proteomics data for differential protein expression or differential enrichment. It requires tabular input (e.g. txt files) as generated by quantitative analysis softwares of raw mass spectrometry data, such as MaxQuant or IsobarQuant.	1.2.0	Library	Proteomics experiment, Proteomics	376	http://bioconductor.org/packages/release/bioc/manuals/DEP/man/DEP.pdf	Linux, Windows, Mac	R	None	Artistic-2.0	10.1038/nprot.2017.147	Proteome-wide identification of ubiquitin interactions using UbIA-MS	ubiquitin-binding proteins play an important role in eukaryotes by translating differently linked polyubiquitin chains into proper cellular responses. current knowledge about ubiquitin-binding proteins and ubiquitin linkage-selective interactions is mostly based on case-by-case studies. We have recently reported a method called ubiquitin interactor affinity enrichment–mass spectrometry (ubIa-Ms), which enables comprehensive identification of ubiquitin interactors for all ubiquitin linkages from crude cell lysates. one major strength of ubIa-Ms is the fact that ubiquitin interactors are enriched from crude cell lysates, in which proteins are present at endogenous levels, contain biologically relevant post-translational modifications (ptMs) and are assembled in native protein complexes. In addition, ubIa-Ms uses chemically synthesized nonhydrolyzable diubiquitin, which mimics native diubiquitin and is inert to cleavage by endogenous deubiquitinases (DuBs). Here, we present a detailed protocol for ubIa-Ms that proceeds in five stages: (i) chemical synthesis of ubiquitin precursors and click chemistry for the generation of biotinylated nonhydrolyzable diubiquitin baits, (ii) in vitro affinity purification of ubiquitin interactors, (iii) on-bead interactor digestion, (iv) liquid chromatography (lc)–Ms/Ms analysis and (v) data analysis to identify differentially enriched proteins. the computational analysis tools are freely available as an open-source r software package, including a graphical interface. typically, ubIa-Ms allows the identification of dozens to hundreds of ubiquitin interactors from any type of cell lysate, and can be used to study cell type or stimulus-dependent ubiquitin interactions. the nonhydrolyzable diubiquitin synthesis can be completed in 3 weeks, followed by ubiquitin interactor enrichment and identification, which can be completed within another 2 weeks.
DECIPHER	http://bioconductor.org/packages/release/bioc/html/DECIPHER.html	A toolset for deciphering and managing biological sequences.	2.2.0	Command-line tool, Library	Proteomics, Data visualisation	2315	http://bioconductor.org/packages/release/bioc/html/DECIPHER.html	Linux, Windows, Mac	R	None	GPL-3.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
statTarget	http://bioconductor.org/packages/release/bioc/html/statTarget.html	An easy to use tool provide a graphical user interface for quality control based shift signal correction, integration of metabolomic data from multi-batch experiments, and the comprehensive statistic analysis in non-targeted or targeted metabolomics.	1.4.7	Command-line tool, Library	Proteomics experiment, Metabolomics, Data quality management	2315	http://bioconductor.org/packages/release/bioc/html/statTarget.html	Linux, Windows, Mac	R	None	GPL-2.0	10.1038/nmeth.3252	Orchestrating high-throughput genomic analysis with Bioconductor	Bioconductor is an open-source, open-development software project for the analysis and comprehension of high-throughput data in genomics and molecular biology. The project aims to enable interdisciplinary research, collaboration and rapid development of scientific software. Based on the statistical programming language R, Bioconductor comprises 934 interoperable packages contributed by a large, diverse community of scientists. Packages cover a range of bioinformatic and statistical applications. They undergo formal initial review and continuous automated testing. We present an overview for prospective users and contributors.
Trans-Proteomic Pipeline (TPP)	http://tools.proteomecenter.org/software.php	Institute for Systems Biology "Trans-Proteomic Pipeline"		Command-line tool, Desktop application, Suite	Proteomics, Proteomics experiment	271, 123, 40, 635				None	None	10.1002/prca.201400164	Trans-Proteomic Pipeline	a standardized data processing pipeline for large-scale reproducible proteomics informatics, Democratization of genomics technologies has enabled the rapid determination of genotypes. More recently the democratization of comprehensive proteomics technologies is enabling the determination of the cellular phenotype and the molecular events that define its dynamic state. Core proteomic technologies include MS to define protein sequence, protein:protein interactions, and protein PTMs. Key enabling technologies for proteomics are bioinformatic pipelines to identify, quantitate, and summarize these events. The Trans-Proteomics Pipeline (TPP) is a robust open-source standardized data processing pipeline for large-scale reproducible quantitative MS proteomics. It supports all major operating systems and instrument vendors via open data formats. Here, we provide a review of the overall proteomics workflow supported by the TPP, its major tools, and how it can be used in its various modes from desktop to cloud computing. We describe new features for the TPP, including data visualization functionality. We conclude by describing some common perils that affect the analysis of MS/MS datasets, as well as some major upcoming features., 10.1007/978-1-60761-444-9_15, Trans-proteomic pipeline: a pipeline for proteomic analysis., Mass spectrometry has quickly become an essential tool in molecular biology laboratories. Here, we describe the Trans-Proteomic Pipeline, a collection of software tools, to facilitate the analysis, exchange, and comparison of MS data. The pipeline is instrument-independent and supports most commonly used proteomics workflows, including quantitative applications such as ICAT, iTRAQ, and SILAC. Importantly, the pipeline uses open, standard data formats and calculates accurate estimates of sensitivity and error rates, thus allowing for meaningful data exchange. In this chapter, we will introduce the various components of the pipeline in the context of three typical proteomic use-case scenarios., 10.1007/978-1-60761-977-2_12, Software Pipeline and Data Analysis for MS/MS Proteomics: The Trans-Proteomic Pipeline, The LC-MS/MS shotgun proteomics workflow is widely used to identify and quantify sample peptides and proteins. The technique, however, presents a number of challenges for large-scale use, including the diverse raw data file formats output by mass spectrometers, the large false positive rate among peptide assignments to MS/MS spectra, and the loss of connectivity between identified peptides and the sample proteins that gave rise to them. Here we describe the Trans-Proteomic Pipeline, a freely available open source software suite that provides uniform analysis of LC-MS/MS data from raw data to quantified sample proteins. In a straightforward manner, users can extract MS/MS information from raw data of many instrument formats, submit them to search engines for peptide identification, validate the results to remove false hits, combine together results of multiple search engines, infer sample proteins that gave rise to the identified peptides, and perform quantitation at the peptide and protein levels., 10.1002/pmic.200900375, A guided tour of the Trans-Proteomic Pipeline, The Trans-Proteomic Pipeline (TPP) is a suite of software tools for the analysis of MS/MS data sets. The tools encompass most of the steps in a proteomic data analysis workflow in a single, integrated software system. Specifically, the TPP supports all steps from spectrometer output file conversion to protein-level statistical validation, including quantification by stable isotope ratios. We describe here the full workflow of the TPP and the tools therein, along with an example on a sample data set, demonstrating that the setup and use of the tools are straightforward and well supported and do not require specialized informatic resources or knowledge.
rt	http://www.ms-utils.org/rt.html	Retention time prediction using LC-MS data. The latest version (4.0) has an improved user interface and can read pepXML files directly.		Command-line tool	Proteomics, Proteomics experiment	133	http://www.ms-utils.org/rt4.html	Linux, Windows, Mac	C	None	GPL-3.0	10.1021/ac0256890	Prediction of chromatographic retention and protein identification in liquid chromatography/mass spectrometry	Liquid chromatography coupled on- or off-line with mass spectrometry is rapidly advancing as a tool in proteomics capable of dealing with the inherent complexity in biology and complementing conventional approaches based on two-dimensional gel electrophoresis. Proteins can be identified by proteolytic digestion and peptide mass fingerprinting or by searching databases using short-sequence tags generated by tandem mass spectrometry. This paper shows that information on the chromatographic behavior of peptides can assist protein identification by peptide mass fingerprinting in liquid chromatography/mass spectrometry. This additional information is significant and already available at no extra experimental cost.
ProteomeTools	http://www.proteometools.org/	A project that's aim is to translate the human proteome into molecular and digital tools for drug discovery, personalized medicine and life science research. It offers a repository of synthesized peptides and different tools for analyzing them.		Library, Database portal, Desktop application	Proteomics, Proteins, Biomedical science, Bioinformatics	162				Open access	None	10.1038/nmeth.4153	Building ProteomeTools based on a complete synthetic human proteome	We describe ProteomeTools, a project building molecular and digital tools from the human proteome to facilitate biomedical research. Here we report the generation and multimodal liquid chromatography-tandem mass spectrometry analysis of >330,000 synthetic tryptic peptides representing essentially all canonical human gene products, and we exemplify the utility of these data in several applications. The resource (available at http://www.proteometools.org) will be extended to >1 million peptides, and all data will be shared with the community via ProteomicsDB and ProteomeXchange.
